開催回,日付,第1数字,第2数字,第3数字,第4数字,第5数字,第6数字,第7数字,BONUS数字1,BONUS数字2,1等口数,2等口数,3等口数,4等口数,5等口数,6等口数,1等賞金,2等賞金,3等賞金,4等賞金,5等賞金,6等賞金,キャリーオーバー
90,2014/12/26,2,8,9,13,14,18,37,11,25,1,15,153,8377,142874,267154,800000000,10036600,1377500,14700,2100,1000,2147483647
91,2015/1/9,1,5,7,14,15,25,35,18,24,0,18,315,11332,162096,260376,0,8186000,654800,10600,1800,1000,2147483647
92,2015/1/16,4,5,15,25,26,29,32,11,27,1,9,162,7853,133466,245160,800000000,15195400,1181800,14300,2000,1000,2147483647
93,2015/1/23,2,5,11,14,17,30,32,31,37,2,10,139,7146,117498,196034,800000000,12969400,1306200,14900,2200,1200,1052449145
94,2015/1/30,13,19,20,27,28,29,30,26,36,2,8,120,6192,104231,181697,705794000,15220500,1420500,16100,2300,1200,0
95,2015/2/6,1,8,13,14,18,30,34,26,36,0,5,89,4775,79565,146366,0,18009000,1416400,15400,2200,1100,268239710
96,2015/2/13,9,11,14,21,22,23,24,10,36,0,15,130,6426,103877,180889,0,6898400,1114300,13200,2000,1000,573705620
97,2015/2/20,7,13,14,16,22,24,35,1,29,1,16,129,6927,111308,178510,800000000,6932900,1203800,13100,2000,1100,99001930
98,2015/2/27,3,9,11,13,19,25,33,10,30,0,18,189,7746,109792,172961,0,5366700,715500,10200,1700,1000,387567960
99,2015/3/6,13,17,22,24,27,28,35,11,19,1,11,131,6826,105445,176597,699064600,9328000,1096500,12300,1900,1000,0
100,2015/3/13,1,2,11,16,25,35,36,9,14,0,6,76,4479,78016,152645,0,14043600,1552100,15400,2100,1000,248837600
101,2015/3/20,11,12,21,23,28,36,37,3,16,0,9,147,5973,97792,177936,0,10648500,912700,13100,1900,900,546062785
102,2015/3/27,1,4,8,27,28,29,31,13,25,3,14,155,7215,117503,200661,295337700,7795200,985700,12400,1800,900,0
103,2015/4/3,2,3,11,12,22,35,36,30,34,0,3,134,5989,91551,133012,0,27272900,854800,11200,1800,1100,237715660
104,2015/4/10,7,9,11,15,16,22,37,12,13,1,7,129,6241,98767,168004,523951100,13662100,1037800,12500,1900,1000,0
105,2015/4/17,3,15,19,20,26,28,33,17,21,1,12,116,5412,85105,137748,248384000,6977900,1010500,12700,1900,1100,0
106,2015/4/24,6,10,12,19,21,22,30,1,11,0,10,105,4888,78353,144248,0,8217800,1095600,13800,2100,1000,242369330
107,2015/5/1,3,8,9,13,17,27,33,29,31,0,15,165,7623,112363,182521,0,6523000,830100,10500,1700,900,543591915
108,2015/5/8,2,6,7,8,28,30,36,18,21,0,15,164,7155,111653,180825,0,6899600,883400,11800,1800,1000,856434470
109,2015/5/15,6,17,20,21,24,30,32,7,23,0,7,116,5373,90074,168077,0,16296700,1376700,17400,2500,1200,1194796700
